Model version,Mean score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,ID,Notes,Source,Source link
o1-mini-2024-09-12_medium,6.49,2024-09-12,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",recq4LxA84BKzH3t1,"Assuming medium reasoning effort.

Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
grok-2-1212,6.36,2024-12-12,xAI,United States of America,2.96e+25,Estimate based on xAI statements comparing Grok-2 compute to GPT-4 and Grok-3. Full estimate here: https://docs.google.com/document/d/1C_dABuZrAqYE_ui4_GZ4bRLtq3TBjIGoBSktaPElhEU/edit?usp=sharing,recxwnBs6mL87lq8r,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
phi-4,6.26,2024-12-12,Microsoft Research,United States of America,9.3202015e+23,"6ND = 6* 14*10^9 parameters * 10*10^12 tokens = 8.4e+23 FLOP

989500000000000 FLOP / sec [assumed bf16 precision] * 1920 GPUs * 504 hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.0341209e+24 FLOP

geometric mean
sqrt(8.4e+23 * 1.0341209e+24) = 9.3202015e+23",rect9gbTk2DzJqvos,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
Llama-4-Maverick-17B-128E-Instruct,6.2,2025-04-05,Meta AI,United States of America,2.244000000001e+24,"22T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md   

Maverick was trained using co-distillation from Llama 4 Behemoth. It isn't 100% clear that all 22T tokens used distillation, but we assume this for the time being.

Estimating training compute from parameters and tokens:
Compute = 6 FLOP per token per parameter * 17B active parameters * 22T tokens = 2.244e24 FLOP
(Implying mean throughput was 262 TFLOPS/GPU, or 13.2% MFU in FP8)


The model card also states that Llama 4 Maverick used 2.38M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 2.38 million hours = 3.342e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Maverick than for Behemoth.)",recNUH31w7Wo1y6BP,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
o3-mini-2025-01-31_high,6.17,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",recfjLnZ7q8ZmOFwC,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
o3-mini-2025-01-31_medium,6.15,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",recF0Rko4uHeKxc4o,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
amazon.nova-pro-v1:0,6.05,2024-12-03,Amazon,United States of America,6.000010000000001e+24,"""probably just below 1e25 stemming from the Llama 70B serving speed.  If Llama 70B is trained proportionally to 405B, then it's at ~ 6.6e24. Nova Pro is served at 100tk/s, while Llama 70B is served at 70tk/s on average, and 100tk/s by together.ai at FP8. So Nova Pro would be >1e25 if they roughly 2x the amount of training compared to Llama 70B which [seems unlikely]""",recJLuoiCnHOIXETL,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gpt-5-2025-08-07_medium,8.6,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",rec0Z6mn8DykfmhUG,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
Kimi-K2-Instruct,8.56,2025-07-12,Moonshot,China,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,recQirtQcqpnqnCmD,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
o3-pro-2025-06-10_medium,8.44,2025-06-10,OpenAI,United States of America,,,recziSpfFbKGOTfrx,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gemini-2.5-pro,8.38,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,rec0ovyX32clmB0YQ,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-opus-4-1-20250805,8.47,2025-08-05,Anthropic,United States of America,,,recQGrrVSyU7LJV8J,"No thinking

Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
Qwen3-235B-A22B-Thinking-2507,8.24,2025-07-25,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,recgbicrWUHFgEXUN,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
grok-4-0709,7.69,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",recHsXHgOLusv4OM7,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
glm-4.5,7.34,2025-08-03,"Z.ai (Zhipu AI),Tsinghua University",China,4.42e+24,(6 FLOP/token/parameter) * (23T tokens) * (32B active parameters) = 4.42e24 FLOP,recndMUeg8j7ax2mP,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gpt-oss-120b,7.71,2025-08-05,OpenAI,United States of America,4.94e+24,"""The training run for gpt-oss-120b required 2.1 million H100-hours to complete""
(2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24
They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24

",rechu7octUa0VXvGm,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-opus-4-1-20250805_16K,8.45,2025-08-05,Anthropic,United States of America,,,rece74WSDRKTV6F70,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-opus-4-20250514_16K,8.36,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,recSxHLOU5cJBScJQ,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-opus-4-20250514,8.31,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,reczAUw61tTAGthNB,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gpt-5-mini-2025-08-07_medium,8.31,2025-08-07,OpenAI,United States of America,,,rect7iyP0qisC7ID4,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
DeepSeek-R1-0528,8.19,2025-05-28,DeepSeek,China,4.020010000000001e+24,"Estimates by Ege Erdil in Gradient Updates:
https://epoch.ai/gradient-updates/what-went-into-training-deepseek-r1
""A dataset size of 14.8 trillion tokens is reasonable and in line with other models of this scale. Assuming that’s valid, the pretraining of this model would have required 6 * (37 billion) * (14.8 trillion) = 3e24 FLOP. If we assume DeepSeek’s training cluster consists of H800s with the PCIe form factor, then each should be capable of 1.5e15 FP8 per second, and the implied model FLOP utilization (MFU) of DeepSeek v3’s 55 day training run ends up being around 23%.""

6 FLOP/token/param * 14.8T tokens * 37B active params = 3.29e24 FLOP (pretraining)
1.2e23 FLOP (post-training)
6.1e23 FLOP (fine-tuning)

Total compute: 3.29e24 + 1.2e23 + 6.1e23 = 4.02e24",rec4fAMGF4CEUzXWS,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-sonnet-4-20250514_16K,8.14,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,recPoGtJcsOqMnPEC,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-sonnet-4-20250514,8.09,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,recIODgvtnNmYtN8h,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gemini-2.5-pro-preview-05-06,8.09,2025-05-06,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,rec8YE5yoLbguMIgx,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
mistral-medium-2505,7.73,2025-05-07,Mistral AI,France,,"Benchmarks match with models like GPT-4o, Mistral's previous largest runs were ~1e25 FLOP scale, so plausibly they might have trained Medium with this much compute.",recrgQJ9fei2AEHgy,"Score from the final V1 leaderboard (0-10 scale) of lechmazur/Writing, commit 80b7f17 (Aug 8, 2025). Frozen: the benchmark's later versions use a different scoring system that is not comparable to this scale.",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
