Model version,Accuracy,Accuracy Standard Error,Reasoning effort,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Provider,Latency (seconds),Cost per test (USD),Source,Notes
gpt-5.4-2026-03-05_xhigh,0.56,0.049640000000000004,xhigh,2026-03-05,OpenAI,United States of America,,,openai/gpt-5.4-2026-03-05,OpenAI,2751.526,3.202015,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
deepseek-v4-flash-0731_unknown,0.56,,,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",deepseek/deepseek-v4-flash-0731,,883.666,0.036568,https://www.vals.ai/benchmarks/proof_bench,
claude-opus-4-7_max,0.54,0.04984,max,2026-04-16,Anthropic,United States of America,,,anthropic/claude-opus-4-7,Anthropic,679.708,1.807786,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
grok-4.6_unknown,0.51,,,2026-08-12,xAI,United States of America,,,grok/grok-4.6,,861.898,0.759043,https://www.vals.ai/benchmarks/proof_bench,
gpt-5.5_xhigh,0.5,0.05,xhigh,2026-04-23,OpenAI,United States of America,,,openai/gpt-5.5,OpenAI,2953.443,1.68179,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
claude-opus-4-6_max,0.5,0.05,max,2026-02-05,Anthropic,United States of America,,,anthropic/claude-opus-4-6-thinking,Anthropic,3973.892,2.703583,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
deepseek-v4-pro-0813_unknown,0.5,,,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,deepseek/deepseek-v4-pro-0813,,732.365,0.062191,https://www.vals.ai/benchmarks/proof_bench,
claude-sonnet-4-6_max,0.45,0.049749999999999996,max,2026-02-17,Anthropic,United States of America,,,anthropic/claude-sonnet-4-6,Anthropic,5463.593,2.162108,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
muse-spark-1.2,0.43,,,2026-08-05,Meta AI,United States of America,,,meta/muse_spark_1_2,,469.146,0.424326,https://www.vals.ai/benchmarks/proof_bench,
muse-spark-1.1,0.39,0.04902,xhigh,2026-07-09,Meta AI,United States of America,,,meta/muse_spark_1_1,Meta,1056.902,0.519718,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
claude-opus-4-5-20251101_unknown,0.36,0.048,high,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,anthropic/claude-opus-4-5-20251101-thinking,Anthropic,3757.671,1.267043,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gemini-3.6-flash_unknown,0.36,0.04824,high,2026-07-21,Google DeepMind,United States of America,,,google/gemini-3.6-flash,Google,346.937,0.522059,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
glm-5.2_max,0.35000000000000003,0.047939999999999997,max,2026-06-16,Z.ai (Zhipu AI),China,,,zai/glm-5.2,Zhipu AI,0.0,0.0,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
grok-4.5_high,0.31,0.04606,high,2026-07-08,xAI,United States of America,,,grok/grok-4.5,SpaceXAI,668.86,0.573991,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
gemini-3.5-flash_high,0.31,0.045599999999999995,high,2026-05-19,Google,United States of America,,,google/gemini-3.5-flash,Google,394.5,0.54137,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
qwen3.7-max,0.26,0.04408,,2026-05-19,Alibaba,China,,,alibaba/qwen3.7-max,Alibaba,771.408,2.462069,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gemini-3.1-pro-preview,0.26,0.04386,high,2026-02-19,Google DeepMind,United States of America,,,google/gemini-3.1-pro-preview,Google,884.2,0.784253,https://www.vals.ai/benchmarks/proof_bench,
glm-5.1,0.22222000000000003,0.04178,,2026-04-07,Z.ai (Zhipu AI),China,,,zai/glm-5.1,Zhipu AI,4755.746,0.584577,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
mimo-v2.5-pro,0.22,0.04292,,,Xiaomi Corp,China,6.804e+24,6 FLOPS/token/active parameter * 27e12 tokens * 42e9 active parameters = 6.804E24 FLOP,xiaomi/mimo-v2.5-pro,Xiaomi,1172.459,0.089853,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
gpt-5.4-mini-2026-03-17_xhigh,0.21,0.04073,xhigh,2026-03-17,OpenAI,United States of America,,,openai/gpt-5.4-mini-2026-03-17,OpenAI,1410.671,0.249441,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gemini-3-pro-preview,0.2,0.04,high,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,google/gemini-3-pro-preview,Google,10383.833,1.229076,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
claude-sonnet-4-5-20250929_unknown,0.19,0.03923,,2025-09-29,Anthropic,United States of America,,,anthropic/claude-sonnet-4-5-20250929-thinking,Anthropic,12300.813,0.65341,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
MiniMax-M3,0.18,0.03943,,2026-06-01,MiniMax,China,,,minimax/MiniMax-M3,MiniMax,718.66,0.419224,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
gpt-5-2025-08-07_high,0.18,0.03842,high,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",openai/gpt-5-2025-08-07,OpenAI,4579.325,0.852361,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
muse-spark,0.17,0.037559999999999996,,2026-04-08,Meta AI,United States of America,,,meta/muse_spark,Meta,478.958,0.067086,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
kimi-k2.6,0.16,0.03666,,2026-04-20,Moonshot,China,,,kimi/kimi-k2.6,Moonshot AI,1386.754,0.295811,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
mimo-v2.5,0.16,0.03685,,,Xiaomi Corp,China,4.32e+24,"MiMo-V2.5 is a 310B-parameter Sparse MoE model (15B active) trained on 48T tokens

6ND:
6 * 15B * 48T = 4.32e24",xiaomi/mimo-v2.5,Xiaomi,1236.205,0.055929,https://www.vals.ai/benchmarks/proof_bench,
deepseek-v4-pro_max,0.16,0.03,max,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,deepseek/deepseek-v4-pro,DeepSeek,419.9,0.033594,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
qwen3.8-27b,0.16,,,2026-08-14,Alibaba,China,,,alibaba/qwen3.8-27b,,1453.872,2.298832,https://www.vals.ai/benchmarks/proof_bench,
gemini-3-flash-preview,0.15,0.035710000000000006,high,2025-12-17,Google DeepMind,United States of America,,,google/gemini-3-flash-preview,Google,1141.548,0.327286,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gpt-5.2-2025-12-11_xhigh,0.15,0.035710000000000006,xhigh,2025-12-11,OpenAI,United States of America,,,openai/gpt-5.2-2025-12-11,OpenAI,1493.817,1.059689,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
grok-4.20-0309-reasoning,0.14,0.0347,,2026-02-17,xAI,United States of America,,,grok/grok-4.20-0309-reasoning,SpaceXAI,494.946,0.31815,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gemini-3.5-flash-lite,0.13,0.0338,high,2026-07-21,Google DeepMind,United States of America,,,google/gemini-3.5-flash-lite,Google,290.614,0.132788,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gpt-5-nano-2025-08-07_high,0.12,0.0325,high,2025-08-07,OpenAI,United States of America,,,openai/gpt-5-nano-2025-08-07,OpenAI,3729.837,0.049218,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
grok-4.3_high,0.11,0.03129,high,2026-04-17,xAI,United States of America,,,grok/grok-4.3,SpaceXAI,1643.019,0.244122,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gpt-5-mini-2025-08-07_high,0.09,0.028620000000000003,high,2025-08-07,OpenAI,United States of America,,,openai/gpt-5-mini-2025-08-07,OpenAI,3349.817,0.22021,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gpt-5.1-codex-max,0.09,0.028620000000000003,high,2025-11-19,OpenAI,United States of America,,,openai/gpt-5.1-codex-max,OpenAI,3184.213,0.527356,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
mistral-medium-2604,0.09,0.030150000000000003,high,2026-04-28,Mistral AI,France,,"Commentary from Mistral researcher - https://x.com/mertunsal2020/status/2049551864556143094?s=20 - says ""nowhere close to those flops"" in response to someone suggesting 2.3e25FLOPS was used",mistralai/mistral-medium-3.5,Mistral AI,479.048,1.132768,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
fireworks/deepseek-v3p2,0.08,0.02713,none,2025-12-01,DeepSeek,China,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",fireworks/deepseek-v3p2,Fireworks AI,3981.084,0.11773,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
glm-4.7,0.06,0.02375,,2025-12-22,Z.ai (Zhipu AI),China,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",zai/glm-4.7,Zhipu AI,3364.789,0.14404,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
inkling-small,0.06,0.0219,0.99,2026-07-15,Thinking Machines,United States of America,,,thinkingmachines/inkling-small,Thinkingmachines,507.301,0.082234,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
gpt-5.4-nano-2026-03-17_high,0.05,0.02179,high,2026-03-17,OpenAI,United States of America,,,openai/gpt-5.4-nano-2026-03-17,OpenAI,525.432,0.015894,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
grok-4-1-fast-reasoning,0.04,0.0196,,2025-11-19,xAI,United States of America,,,grok/grok-4-1-fast-reasoning,SpaceXAI,1421.041,0.096578,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
MiniMax-M2.5,0.04,0.0196,,2026-02-12,MiniMax,China,,,minimax/MiniMax-M2.5,MiniMax,4514.143,0.057497,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
MiniMax-M2.7,0.03,0.01706,,2026-03-18,MiniMax,China,,,minimax/MiniMax-M2.7,MiniMax,1634.068,0.04293,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
nemotron-3-ultra,0.02,0.014070000000000001,,2026-06-04,NVIDIA,United States of America,6.6e+24,"55 billion active parameters, ~20T tokens",nvidia/nemotron-3-ultra-550b-a55b,Nvidia,2552.288,,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
laguna-xs.2,0.0,0.0,,2026-04-28,Poolside,United States of America,,"6 * e12 tokens * 33.4e9 parameters = 

Tokens trained on:
Pre-training: 30T
Mid-training: 60B",poolside/laguna-xs.2,Poolside,315.721,0.024998,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
laguna-m.1,0.0,0.0,,2026-04-28,Poolside,United States of America,,,poolside/laguna-m.1,Poolside,423.12,0.067403,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
Inkling,0.0,0.014070000000000001,,2026-07-15,Thinking Machines,United States of America,1.845e+24,6ND = 41e9 active parameters * 45e12 tokens = 1.845e+24 FLOP,thinkingmachines/inkling,Thinkingmachines,436.43,0.198639,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
