Model version,ECI Score,Release date,Organization,Country,Model accessibility,Training compute (FLOP),Confidence,Model name,Description,Display name
claude-sonnet-4-6_max,152.17,2026-02-17,Anthropic,United States of America,API access,,Likely,Claude Sonnet 4.6,,Claude Sonnet 4.6 (max)
claude-opus-5,161.54,2026-07-24,Anthropic,United States of America,API access,,Confident,Claude Opus 5,,Claude Opus 5
claude-sonnet-4-5-20250929,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,"Anthropic's latest mid-size model, part of the Claude 4.5 series.",Claude Sonnet 4.5 (no thinking)
claude-opus-4-8_none,157.78,2026-05-28,Anthropic,United States of America,API access,,Confident,Claude Opus 4.8,,Claude Opus 4.8
claude-opus-4-8_low,157.78,2026-05-28,Anthropic,United States of America,API access,,Confident,Claude Opus 4.8,,Claude Opus 4.8
claude-opus-4-7_max,155.98,2026-04-16,Anthropic,United States of America,API access,,Likely,Claude Opus 4.7,,Claude Opus 4.7 (max)
claude-opus-4-5-20251101,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (no thinking)
claude-fable-5_low,162.49,2026-06-09,Anthropic,United States of America,API access,,Confident,Claude Fable 5,,Claude Fable 5 (low)
claude-fable-5_max,162.49,2026-06-09,Anthropic,United States of America,API access,,Confident,Claude Fable 5,,Claude Fable 5 (max)
magistral-small-2506,134.0,2025-06-10,Mistral AI,France,Open weights (unrestricted),,Confident,Magistral Small 1.0,,
Inkling_xhigh,148.77,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),1.845e+24,Likely,Inkling,,Inkling (xhigh)
gpt-5.2-2025-12-11_high,153.31,2025-12-11,OpenAI,United States of America,API access,,Unknown,GPT-5.2,,GPT-5.2 (high)
claude-sonnet-4-6,152.17,2026-02-17,Anthropic,United States of America,API access,,Likely,Claude Sonnet 4.6,,Claude Sonnet 4.6 (no thinking)
claude-sonnet-4-6_low,152.17,2026-02-17,Anthropic,United States of America,API access,,Likely,Claude Sonnet 4.6,,Claude Sonnet 4.6 (low)
claude-opus-4-7,155.98,2026-04-16,Anthropic,United States of America,API access,,Likely,Claude Opus 4.7,,Claude Opus 4.7 (no thinking)
claude-opus-4-6,155.01,2026-02-05,Anthropic,United States of America,API access,,Likely,Claude Opus 4.6,,Claude Opus 4.6 (no thinking)
claude-opus-4-6_low,155.01,2026-02-05,Anthropic,United States of America,API access,,Likely,Claude Opus 4.6,,Claude Opus 4.6 (low)
gemini-3.1-pro-preview_medium,154.62,2026-02-19,Google DeepMind,United States of America,API access,,Likely,Gemini 3.1 Pro,,Gemini 3.1 Pro Preview
gemini-3.1-pro-preview_low,154.62,2026-02-19,Google DeepMind,United States of America,API access,,Likely,Gemini 3.1 Pro,,Gemini 3.1 Pro Preview
claude-sonnet-5,155.9,2026-06-30,Anthropic,United States of America,API access,,Confident,Claude Sonnet 5,,Claude Sonnet 5 (no thinking)
qwen3.6-max-preview_none,149.3,2026-04-20,Alibaba,China,,,Unverified,Qwen 3.6 Max (Preview),,Qwen 3.6 Max (Preview)
gemini-3-flash-preview_minimal,151.72,2025-12-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 3 Flash,,Gemini 3 Flash Preview
gemini-3-flash-preview_low,151.72,2025-12-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 3 Flash,,Gemini 3 Flash Preview
deepseek-v4-flash-0731_max,154.43,2026-07-31,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek V4 Flash 0731,,DeepSeek V4 Flash 0731 (max)
qwen3.6-plus_none,149.35,2026-03-31,Alibaba,China,API access,,Confident,Qwen 3.6 Plus,,Qwen 3.6 Plus (2026-04-02)
qwen3.5-plus_none,147.13,2026-02-16,Alibaba,China,,,Likely,Qwen 3.5 Plus (hosted 397B-A17B),,Qwen3.5 Plus
qwen3.6-flash_none,144.06,2026-04-27,Alibaba,China,,,Unverified,Qwen 3.6 Flash,,Qwen 3.6 Flash (2026-04-16)
qwen3.5-flash_none,143.87,2026-02-25,Alibaba,China,,,Likely,Qwen 3.5 Flash (hosted 35B-A3B),,Qwen3.5 Flash
gpt-5-2025-08-07_high,150.0,2025-08-07,OpenAI,United States of America,API access,6.6e+25,Speculative,GPT-5,"OpenAI's latest flagship frontier model, benchmarked using high reasoning effort.",GPT-5 (high)
gemini-3.6-flash_high,154.2,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.6 Flash,,Gemini 3.6 Flash
qwen3.8-max_xhigh,156.43,2026-08-02,Alibaba,China,API access,,Confident,Qwen 3.8 Max,,Qwen3.8 Max (xhigh)
gpt-5.5-instant,143.49,2026-05-05,OpenAI,United States of America,API access,,Confident,GPT-5.5 Instant,,GPT-5.5 Instant
kimi-k3_max,157.49,2026-07-16,Moonshot,China,Open weights (non-commercial),2.0001e+25,Speculative,Kimi K3,,Kimi K3 (max)
gpt-5.6-luna_max,156.22,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Luna,,GPT-5.6 Luna (max)
gpt-5.6-terra_max,158.78,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Terra,,GPT-5.6 Terra (max)
gpt-5.5_xhigh,158.67,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5,,GPT-5.5 (xhigh)
claude-opus-4-8_xhigh,157.78,2026-05-28,Anthropic,United States of America,API access,,Confident,Claude Opus 4.8,,Claude Opus 4.8
claude-sonnet-4-5-20250929_48K,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,,Claude Sonnet 4.5 (48k thinking)
claude-opus-4-1-20250805_24K,144.31,2025-08-05,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.1,,
claude-opus-4-5-20251101_48K,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (48k thinking)
gpt-5.4-2026-03-05_xhigh,156.5,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4,,GPT-5.4 (xhigh)
claude-opus-4-1-20250805,144.31,2025-08-05,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.1,Anthropic’s largest flagship model.,
o1-2024-12-17_low,142.57,2024-12-17,OpenAI,United States of America,API access,,Unknown,o1,"OpenAI's first reasoning model, evaluated with at the low reasoning tokens level.",o1 (low)
gpt-5-2025-08-07_minimal,150.0,2025-08-07,OpenAI,United States of America,API access,6.6e+25,Speculative,GPT-5,"OpenAI's latest flagship frontier model, benchmarked using minimal reasoning effort.",GPT-5 (minimal)
o3-mini-2025-01-31_low,141.36,2025-01-31,OpenAI,United States of America,API access,,Unknown,o3-mini,"A smaller version of OpenAI's o3 reasoning model, evaluated with low reasoning effort.",
kimi-k2.6,151.04,2026-04-20,Moonshot,China,Open weights (unrestricted),,Confident,Kimi K2.6,,Kimi K2.6
claude-haiku-4-5-20251001_32K,142.86,2025-10-15,Anthropic,United States of America,API access,,Unknown,Claude Haiku 4.5,,
deepseek-chat,146.38,2025-12-01,DeepSeek,China,Open weights (unrestricted),4.1999999999999997e+24,Likely,DeepSeek-V3.2,,
claude-3-opus-20240229,126.68,2024-02-29,Anthropic,United States of America,API access,,Speculative,Claude 3 Opus,The largest model in Anthropic's Claude 3 model series.,
gpt-4o-2024-08-06,128.78,2024-08-06,OpenAI,United States of America,API access,,Speculative,GPT-4o,"An updated version of GPT-4o, OpenAI's model that powered ChatGPT from mid-2024 to -2025.",GPT-4o (Aug 2024)
o3-2025-04-16_low,147.0,2025-04-16,OpenAI,United States of America,API access,,Unknown,o3,"OpenAI's latest full-size o-series reasoning model release, evaluated on low reasoning effort.",o3 (low)
gpt-5.4-2026-03-05_medium,156.5,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4,,GPT-5.4 (medium)
gpt-5.4-2026-03-05_none,156.5,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4,,GPT-5.4 (none)
gpt-5.4-2026-03-05_low,156.5,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4,,GPT-5.4 (low)
gpt-4o-mini-2024-07-18,126.67,2024-07-18,OpenAI,United States of America,API access,,Speculative,GPT-4o mini,A smaller version of OpenAI's GPT-4o.,
gpt-5-2025-08-07_medium,150.0,2025-08-07,OpenAI,United States of America,API access,6.6e+25,Speculative,GPT-5,"OpenAI's latest flagship frontier model, benchmarked using medium reasoning effort.",GPT-5 (medium)
gpt-5-2025-08-07_low,150.0,2025-08-07,OpenAI,United States of America,API access,6.6e+25,Speculative,GPT-5,"OpenAI's latest flagship frontier model, benchmarked using low reasoning effort.",GPT-5 (low)
gpt-4.1-mini-2025-04-14,135.61,2025-04-14,OpenAI,United States of America,API access,,Unknown,GPT-4.1 mini,A smaller version of OpenAI's GPT-4.1.,GPT-4.1 mini
gemini-3.5-flash_minimal,154.45,2026-05-19,Google,United States of America,API access,,Confident,Gemini 3.5 Flash,,Gemini 3.5 Flash
gpt-4-turbo-2024-04-09,127.3,2024-04-09,OpenAI,United States of America,API access,,Unknown,GPT-4 Turbo (Apr 2024),"The April 2024 version of GPT-4 Turbo, OpenAI's then-flagship language model.",
claude-opus-4-7_low,155.98,2026-04-16,Anthropic,United States of America,API access,,Likely,Claude Opus 4.7,,Claude Opus 4.7 (low)
gpt-5-nano-2025-08-07_low,140.98,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 nano,"The smallest version of OpenAI's latest flagship frontier model, benchmarked using medium reasoning effort.",GPT-5 nano (low)
claude-sonnet-4-6_high,152.17,2026-02-17,Anthropic,United States of America,API access,,Likely,Claude Sonnet 4.6,,Claude Sonnet 4.6 (high)
gpt-5-nano-2025-08-07_minimal,140.98,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 nano,"The smallest version of OpenAI's latest flagship frontier model, benchmarked using medium reasoning effort.",GPT-5 nano (minimal)
gpt-5.2-2025-12-11_none,153.31,2025-12-11,OpenAI,United States of America,API access,,Unknown,GPT-5.2,,GPT-5.2 (none)
claude-sonnet-4-6_medium,152.17,2026-02-17,Anthropic,United States of America,API access,,Likely,Claude Sonnet 4.6,,Claude Sonnet 4.6 (medium)
o4-mini-2025-04-16_low,146.32,2025-04-16,OpenAI,United States of America,API access,,Unknown,o4-mini,"The latest smaller size o-series reasoning model from OpenAI, evaluated with low reasoning effort.",o4-mini (low)
grok-4.20-0309-reasoning,152.07,2026-02-17,xAI,United States of America,API access,,Likely,Grok 4.20,,
gpt-5.6-sol_promax,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,"GPT-5.6 Sol (pro, max)"
grok-4.5_high,153.94,2026-07-08,xAI,United States of America,API access,,Likely,Grok 4.5,,Grok 4.5 (high)
claude-sonnet-5_xhigh,155.9,2026-06-30,Anthropic,United States of America,API access,,Confident,Claude Sonnet 5,,Claude Sonnet 5 (xhigh)
glm-5.2_max,152.14,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),,Confident,GLM-5.2,,GLM-5.2
gpt-5.2-2025-12-11_xhigh,153.31,2025-12-11,OpenAI,United States of America,API access,,Unknown,GPT-5.2,,GPT-5.2 (xhigh)
claude-opus-4-5-20251101_128K,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (128k thinking)
gemini-3.1-pro-preview,154.62,2026-02-19,Google DeepMind,United States of America,API access,,Likely,Gemini 3.1 Pro,,Gemini 3.1 Pro Preview
deepseek-v4-pro_max,149.49,2026-04-24,DeepSeek,China,Open weights (unrestricted),9.702e+24,Likely,DeepSeek-V4-Pro,,DeepSeek v4 Pro (max)
grok-4.3_high,149.16,2026-04-17,xAI,United States of America,Hosted access (no API),,Likely,Grok 4.3 Beta,,
gpt-5.4-pro-2026-03-05_xhigh,158.57,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4 Pro,,GPT-5.4 Pro (xhigh)
gpt-5.2-pro-2025-12-11_xhigh,155.09,2025-12-11,OpenAI,United States of America,API access,,Likely,GPT-5.2 Pro,,GPT-5.2 Pro
gpt-5.5-pro_xhigh,161.73,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5 Pro,,GPT-5.5 Pro (xhigh)
gpt-5-pro-2025-10-06_high,150.27,2025-10-07,OpenAI,United States of America,API access,,Unknown,GPT-5 Pro,,GPT-5 Pro
gpt-5.4-nano-2026-03-17_high,146.23,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Nano,,GPT-5.4 nano (high)
gdm-ai-co-mathematician,,2026-05-08,Google DeepMind,United States of America,Unreleased,,Unverified,AI Co-Mathematician,,AI co-mathematician
gemini-2.5-pro,145.79,2025-06-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Pro (Jun 2025),Google’s general-purpose frontier reasoning model.,
gemini-3-flash-preview,151.72,2025-12-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 3 Flash,,Gemini 3 Flash Preview
claude-opus-4-1-20250805_32K,144.31,2025-08-05,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.1,"Anthropic’s largest flagship model, benchmarked with up to 32,000 reasoning tokens.",
claude-sonnet-4-5-20250929_32K,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,"Anthropic's latest mid-size model, part of the Claude 4.5 series, evaluated with up to 32,000 reasoning tokens.",Claude Sonnet 4.5 (32k thinking)
o4-mini-2025-04-16_high,146.32,2025-04-16,OpenAI,United States of America,API access,,Unknown,o4-mini,"The latest smaller size o-series reasoning model from OpenAI, evaluated with high reasoning effort.",o4-mini (high)
o3-mini-2025-01-31_high,141.36,2025-01-31,OpenAI,United States of America,API access,,Unknown,o3-mini,"A smaller version of OpenAI's o3 reasoning model, evaluated with high reasoning effort.",o3-mini (high)
claude-opus-4-5-20251101_32K,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (32k thinking)
claude-fable-5_xhigh,162.49,2026-06-09,Anthropic,United States of America,API access,,Confident,Claude Fable 5,,Claude Fable 5 (xhigh)
gpt-5.5-pro-pre-release_xhigh,161.73,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5 Pro,,GPT-5.5 Pro (xhigh)
gpt-5.5-pre-release_xhigh,158.67,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5,,GPT-5.5 (xhigh)
gpt-5.5-pro-pre-release_high,161.73,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5 Pro,,GPT-5.5 Pro (high)
claude-opus-4-7_xhigh,155.98,2026-04-16,Anthropic,United States of America,API access,,Likely,Claude Opus 4.7,,Claude Opus 4.7 (xhigh)
