Model name,date,ECI Score,Organization,Model accessibility,open
Claude 2.1,2023-11-21,118.38,Anthropic,API access,False
Yi-34B,2023-11-22,117.16,01.AI,Open weights (restricted use),True
Mixtral 8x7B,2023-12-11,118.15,Mistral AI,Open weights (unrestricted),True
Phi-2,2023-12-12,107.68,Microsoft,Open weights (unrestricted),True
Gemini 1.0 Pro,2023-12-13,117.02,Google DeepMind,API access,False
StarCoder 2 7B,2024-02-20,93.28,"Hugging Face,ServiceNow,NVIDIA,BigCode",Open weights (restricted use),True
StarCoder 2 15B,2024-02-20,104.76,"Hugging Face,ServiceNow,NVIDIA,BigCode",Open weights (restricted use),True
Gemma 2B,2024-02-21,93.93,Google DeepMind,Open weights (restricted use),True
Gemma 7B,2024-02-21,111.78,Google DeepMind,Open weights (restricted use),True
StarCoder 2 3B,2024-02-22,88.49,"Hugging Face,ServiceNow,NVIDIA,BigCode",Open weights (restricted use),True
Mistral Large,2024-02-26,121.03,Mistral AI,API access,False
Claude 3 Sonnet,2024-02-29,119.91,Anthropic,API access,False
Claude 3 Opus,2024-02-29,126.92,Anthropic,API access,False
Claude 3 Haiku,2024-03-07,117.65,Anthropic,API access,False
GPT-4 Turbo (Apr 2024),2024-04-09,127.6,OpenAI,API access,False
Mixtral 8x22B,2024-04-17,121.3,Mistral AI,Open weights (unrestricted),True
Llama 3-8B,2024-04-18,116.45,Meta AI,Open weights (restricted use),True
Llama 3-70B,2024-04-18,122.63,Meta AI,Open weights (restricted use),True
phi-3-mini 3.8B,2024-04-23,117.15,Microsoft,Open weights (unrestricted),True
phi-3-small 7.4B,2024-04-23,121.65,Microsoft,Open weights (unrestricted),True
phi-3-medium 14B,2024-04-23,121.08,Microsoft,Open weights (unrestricted),True
DeepSeek-V2 (MoE-236B),2024-05-07,124.59,DeepSeek,Open weights (restricted use),True
Falcon 2 11B,2024-05-09,109.32,Technology Innovation Institute,Open weights (restricted use),True
Qwen2-72B,2024-06-07,125.5,Alibaba,Open weights (unrestricted),True
Claude 3.5 Sonnet,2024-06-20,130.0,Anthropic,API access,False
Gemma 2 27B,2024-06-24,122.48,Google DeepMind,Open weights (restricted use),True
Gemma 2 9B,2024-06-24,119.6,Google DeepMind,Open weights (restricted use),True
Mistral NeMo,2024-07-18,118.4,Mistral AI,Open weights (unrestricted),True
GPT-4o mini,2024-07-18,126.94,OpenAI,API access,False
Llama 3.1-8B,2024-07-23,115.46,Meta AI,Open weights (restricted use),True
Llama 3.1-70B,2024-07-23,125.53,Meta AI,Open weights (restricted use),True
Llama 3.1-405B,2024-07-23,128.99,Meta AI,Open weights (restricted use),True
o1-preview,2024-09-12,135.79,OpenAI,API access,False
o1-mini,2024-09-12,136.54,OpenAI,API access,False
Qwen2.5-Coder (32B),2024-09-18,119.28,Alibaba,Open weights (unrestricted),True
Qwen2.5-Coder (1.5B),2024-09-18,102.74,Alibaba,Open weights (unrestricted),True
Qwen2.5-Coder (7B),2024-09-18,112.93,Alibaba,Open weights (unrestricted),True
Qwen2.5-72B,2024-09-19,129.12,Alibaba,Open weights (unrestricted),True
Llama 3.2 90B,2024-09-24,125.71,Meta AI,Open weights (restricted use),True
Gemini 1.5 Pro,2024-09-24,132.7,Google DeepMind,API access,False
Gemini 1.5 Flash,2024-09-24,130.39,Google DeepMind,API access,False
Claude 3.5 Sonnet (October 2024),2024-10-22,134.27,Anthropic,API access,False
Claude 3.5 Haiku,2024-10-22,127.5,Anthropic,API access,False
Mistral Large 2,2024-11-18,128.81,Mistral AI,Open weights (non-commercial),True
GPT-4o,2024-11-20,129.3,OpenAI,API access,False
INTELLECT-1,2024-11-29,100.6,"Prime Intellect,Hugging Face,Arcee AI",,False
Amazon Nova Pro,2024-12-03,123.89,Amazon,API access,False
Llama 3.3 70B,2024-12-06,127.5,Meta AI,Open weights (restricted use),True
Grok-2,2024-12-12,130.77,xAI,API access,False
Phi-4,2024-12-12,131.05,Microsoft Research,Open weights (unrestricted),True
o1,2024-12-17,142.67,OpenAI,API access,False
DeepSeek-V3,2024-12-26,132.98,DeepSeek,Open weights (restricted use),True
DeepSeek-R1,2025-01-20,139.65,DeepSeek,Open weights (unrestricted),True
Gemini 2.0 Flash Thinking,2025-01-21,136.22,"Google DeepMind,Google",API access,False
Qwen2.5-Max,2025-01-25,133.4,Alibaba,API access,False
o3-mini,2025-01-31,141.38,OpenAI,API access,False
Gemini 2.0 Flash,2025-02-05,135.77,"Google DeepMind,Google",API access,False
Gemini 2.0 Pro,2025-02-05,135.6,Google DeepMind,Hosted access (no API),False
Claude 3.7 Sonnet,2025-02-24,141.67,Anthropic,API access,False
GPT-4.5,2025-02-27,137.52,OpenAI,API access,False
Gemma 3 27B,2025-03-12,131.08,Google DeepMind,Open weights (restricted use),True
Mistral Small 3.1,2025-03-17,127.76,Mistral AI,Open weights (unrestricted),True
DeepSeek-V3 (Mar 2025),2025-03-24,137.02,DeepSeek,Open weights (restricted use),True
Gemini 2.5 Pro (Mar 2025),2025-03-31,144.84,Google DeepMind,API access,False
Llama 4 Maverick,2025-04-05,133.03,Meta AI,Open weights (restricted use),True
Llama 4 Scout,2025-04-05,130.56,Meta AI,Open weights (restricted use),True
Grok 3,2025-04-09,139.0,xAI,API access,False
Grok-3 mini,2025-04-09,140.99,xAI,API access,False
GPT-4.1 mini,2025-04-14,135.78,OpenAI,API access,False
GPT-4.1 nano,2025-04-14,130.88,OpenAI,API access,False
GPT-4.1,2025-04-14,137.44,OpenAI,API access,False
o4-mini,2025-04-16,146.51,OpenAI,API access,False
o3,2025-04-16,147.05,OpenAI,API access,False
Qwen3-235B-A22B,2025-04-29,139.56,Alibaba,Open weights (unrestricted),True
Gemini 2.5 Pro (May 2025),2025-05-06,142.81,Google DeepMind,API access,False
Mistral Medium 3,2025-05-07,135.27,Mistral AI,API access,False
Claude Sonnet 4,2025-05-22,142.12,Anthropic,API access,False
Claude Opus 4,2025-05-22,142.87,Anthropic,API access,False
DeepSeek-R1 (May 2025),2025-05-28,141.98,DeepSeek,Open weights (unrestricted),True
o3-pro,2025-06-10,147.98,OpenAI,,False
Magistral Small 1.1,2025-06-10,133.06,Mistral AI,Open weights (unrestricted),True
Gemini 2.5 Pro (Jun 2025),2025-06-17,146.06,Google DeepMind,API access,False
Grok 4,2025-07-09,147.04,xAI,API access,False
Qwen3-235B-A22B (Jul 2025),2025-07-25,144.76,Alibaba,Open weights (unrestricted),True
Claude Opus 4.1,2025-08-05,144.16,Anthropic,API access,False
gpt-oss-120b,2025-08-05,140.54,OpenAI,Open weights (unrestricted),True
GPT-5,2025-08-07,150.0,OpenAI,API access,False
GPT-5 nano,2025-08-07,140.82,OpenAI,API access,False
GPT-5 mini,2025-08-07,145.79,OpenAI,API access,False
DeepSeek-V3.1,2025-08-21,138.67,DeepSeek,Open weights (unrestricted),True
Kimi K2,2025-09-05,140.96,Moonshot,Open weights (restricted use),True
Grok 4 Fast,2025-09-19,144.61,xAI,API access,False
Qwen3-Max,2025-09-24,143.94,Alibaba,API access,False
Gemini 2.5 Flash,2025-09-25,143.08,Google DeepMind,API access,False
DeepSeek-V3.2-Exp,2025-09-29,144.84,DeepSeek,Open weights (unrestricted),True
Claude Sonnet 4.5,2025-09-29,146.72,Anthropic,API access,False
GLM-4.6,2025-09-30,140.87,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),True
GPT-5 Pro,2025-10-07,150.43,OpenAI,API access,False
Claude Haiku 4.5,2025-10-15,142.81,Anthropic,API access,False
Kimi K2 Thinking,2025-11-06,145.97,Moonshot,Open weights (restricted use),True
GPT-5.1,2025-11-13,149.73,OpenAI,API access,False
Gemini 3 Pro,2025-11-18,153.23,Google DeepMind,API access,False
Claude Opus 4.5,2025-11-24,149.51,Anthropic,API access,False
DeepSeek-V3.2,2025-12-01,146.56,DeepSeek,Open weights (unrestricted),True
GPT-5.2 Pro,2025-12-11,154.56,OpenAI,API access,False
GPT-5.2,2025-12-11,153.66,OpenAI,API access,False
Gemini 3 Flash,2025-12-17,150.61,Google DeepMind,API access,False
GLM-4.7,2025-12-22,143.68,Z.ai (Zhipu AI),Open weights (unrestricted),True
Kimi K2.5,2026-01-27,148.24,Moonshot,Open weights (unrestricted),True
Claude Opus 4.6,2026-02-05,155.24,Anthropic,API access,False
GPT-5.3 Codex,2026-02-05,155.5,OpenAI,API access,False
GLM-5,2026-02-11,146.38,Z.ai (Zhipu AI),Open weights (unrestricted),True
MiniMax-M2.5,2026-02-12,147.12,MiniMax,Open weights (unrestricted),True
Qwen 3.5 Plus (hosted 397B-A17B),2026-02-16,146.9,Alibaba,,False
Grok 4.20,2026-02-17,154.16,xAI,API access,False
Claude Sonnet 4.6,2026-02-17,153.23,Anthropic,API access,False
Gemini 3.1 Pro,2026-02-19,154.77,Google DeepMind,API access,False
Qwen 3.5 Flash (hosted 35B-A3B),2026-02-25,144.03,Alibaba,,False
Gemini 3.1 Flash-Lite,2026-03-03,144.35,Google,API access,False
GPT-5.4 Pro,2026-03-05,157.71,OpenAI,API access,False
GPT-5.4,2026-03-05,155.94,OpenAI,API access,False
GPT-5.4 Nano,2026-03-17,146.63,OpenAI,API access,False
GPT-5.4 Mini,2026-03-17,148.88,OpenAI,API access,False
MiniMax-M2.7,2026-03-18,145.55,MiniMax,Open weights (non-commercial),True
Qwen 3.6 Plus,2026-03-31,149.09,Alibaba,API access,False
GLM-5.1,2026-04-07,150.34,Z.ai (Zhipu AI),,False
Muse Spark,2026-04-08,154.25,Meta AI,API access,False
Claude Opus 4.7,2026-04-16,155.93,Anthropic,API access,False
Grok 4.3 Beta,2026-04-17,148.85,xAI,Hosted access (no API),False
Kimi K2.6,2026-04-20,150.9,Moonshot,Open weights (unrestricted),True
Qwen 3.6 Max (Preview),2026-04-20,149.58,Alibaba,,False
GPT-5.5,2026-04-23,158.21,OpenAI,API access,False
GPT-5.5 Pro,2026-04-23,160.56,OpenAI,API access,False
DeepSeek-V4-Pro,2026-04-24,149.61,DeepSeek,Open weights (unrestricted),True
Qwen 3.6 Flash,2026-04-27,144.13,Alibaba,,False
Gemini 3.5 Flash,2026-05-19,154.52,Google,API access,False
Qwen3.7-Max,2026-05-19,152.92,Alibaba,API access,False
Claude Opus 4.8,2026-05-28,157.72,Anthropic,API access,False
MiniMax-M3,2026-06-01,144.9,MiniMax,API access,False
Claude Fable 5,2026-06-09,160.29,Anthropic,API access,False
Kimi K2.7 Code,2026-06-12,149.95,Moonshot,Open weights (unrestricted),True
GLM-5.2,2026-06-16,151.57,Z.ai (Zhipu AI),Open weights (unrestricted),True
Claude Sonnet 5,2026-06-30,153.04,Anthropic,API access,False
Grok 4.5,2026-07-08,153.01,xAI,API access,False
GPT-5.6 Terra,2026-07-09,158.1,OpenAI,API access,False
GPT-5.6 Sol,2026-07-09,161.61,OpenAI,API access,False
GPT-5.6 Luna,2026-07-09,155.49,OpenAI,API access,False
