Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Agent,Source,Source link,Notes (details),Date added,Trajectories
,32.1,,,,,,gui-owl-7b (15 steps),OS World Website,https://os-world.github.io/,,2025-09-02,
,31.9,,,,,,doubao-1-5-thinking-vision-pro-250717 (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
computer-use-preview-2025-03-11,31.3,2025-03-11,,,,,computer-use-preview (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
claude-sonnet-4-20250514,31.2,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,claude-4-sonnet-20250514 (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
computer-use-preview-2025-03-11,30.5,2025-03-11,,,,,computer-use-preview (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,29.8,,,,,,TianXi-Action-7B (50 steps),OS World Website,https://os-world.github.io/,,2025-08-10,
,29.7,,,,,,opencua-32b (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,28.2,,,,,,opencua-7b (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,27.8,,,,,,doubao-1-5-thinking-vision-pro-250428 (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,27.4,,,,,,uitars-1.5-7b (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,27.3,,,,,,uitars-1.5-7b (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
claude-3-7-sonnet-20250219,27.1,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,claude-3-7-sonnet-20250219 (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,27.1,,,,,,uitars-72b-dpo (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,26.6,,,,,,opencua-7b (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
computer-use-preview-2025-03-11,26.0,2025-03-11,,,,,computer-use-preview (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,25.8,,,,,,uitars-72b-dpo (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,24.5,,,,,,uitars-1.5-7b (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,24.3,,,,,,opencua-7b (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,24.0,,,,,,uitars-72b-dpo (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,23.1,,,,,,opencua-qwen2-7b (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
o3-2025-04-16_medium,23.0,2025-04-16,OpenAI,United States of America,,,o3 (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,20.6,,,,,,opencua-qwen2-7b (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,19.9,,,,,,opencua-a3b (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,19.9,,,,,,opencua-qwen2-7b (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,17.7,,,,,,opencua-a3b (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
o3-2025-04-16_medium,17.2,2025-04-16,OpenAI,United States of America,,,o3 (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,16.9,,,,,,opencua-a3b (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,10.3,,,,,,kimi-vl-a3b (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,9.7,,,,,,kimi-vl-a3b (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
o3-2025-04-16_medium,9.1,2025-04-16,OpenAI,United States of America,,,o3 (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
Qwen2.5-VL-72B-Instruct,5.0,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",qwen2.5-vl-72b-instruct (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
Qwen2.5-VL-72B-Instruct,4.4,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",qwen2.5-vl-72b-instruct (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,3.9,,,,,,qwen2.5-vl-32b-instruct (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,3.0,,,,,,qwen2.5-vl-32b-instruct (15 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
claude-opus-4-5-20251101,66.3,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4.5,Anthropic annoucement,https://www.anthropic.com/news/claude-opus-4-5,,2025-11-25,
kimi-k2.5,63.3,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi-K2.5,OS World Website,https://os-world.github.io/,,2026-02-03,
