Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Source,Source link,Notes,id
gemini-2.5-pro_8K,0.295,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Thinking 8K),,,,recRQcZH0KSrPBUgQ
claude-sonnet-4-20250514_8K,0.29,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4 (Thinking 8K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recd23dJHC8IgD2IC
claude-3-7-sonnet-20250219_16K,0.286,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7 (16K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recgR391dmSWyZjKu
claude-sonnet-4-20250514_1K,0.28,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4 (Thinking 1K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recs4iQhoJgUrLWrd
codex-mini-2025-05-16,0.273,2025-05-16,,,,,Codex Mini (Latest),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recBLorgitaes8FMx
o1-2024-12-17_low,0.272,2024-12-17,OpenAI,United States of America,,,o1 (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recxLLEulVCEVpIcG
claude-opus-4-20250514_1K,0.27,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4 (Thinking 1K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recOlznt9pRz5uq9J
gpt-5-mini-2025-08-07_low,0.2633,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (Low),,,,recPVPAR1lQ3MnEGK
gemini-2.5-flash-preview-05-20_8K,0.258,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 8K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recy1lONU8pakDYKr
claude-sonnet-4-5-20250929,0.255,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5,,,,recfm25PSdUjoU7HO
claude-haiku-4-5-20251001_8K,0.255,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 8K),,,,rechpW8H5iHdEgOUM
claude-sonnet-4-20250514,0.238,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recXVePhVjOhYoNSC
o1-pro-2025-03-19_low,0.233,2025-03-19,OpenAI,United States of America,,,o1-pro (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recW7rLYsNpIjAlPE
claude-opus-4-20250514,0.225,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recU2yBBdPh7FDErC
o3-mini-2025-01-31_medium,0.223,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o3-mini (Medium),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recKkBnHhDmmhkCSp
gemini-3-flash-preview,0.215,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (Minimal),,,,recUb9rzqKIPGj4Ll
o4-mini-2025-04-16_low,0.213,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o4-mini (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,reci1Fl7wFPBUAxIi
claude-3-7-sonnet-20250219_8K,0.212,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude 3.7 (8K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,reckQgsdCUEH1BmYZ
DeepSeek-R1-0528,0.212,2025-05-28,DeepSeek,China,4.020010000000001e+24,"Estimates by Ege Erdil in Gradient Updates:
https://epoch.ai/gradient-updates/what-went-into-training-deepseek-r1
""A dataset size of 14.8 trillion tokens is reasonable and in line with other models of this scale. Assuming that’s valid, the pretraining of this model would have required 6 * (37 billion) * (14.8 trillion) = 3e24 FLOP. If we assume DeepSeek’s training cluster consists of H800s with the PCIe form factor, then each should be capable of 1.5e15 FP8 per second, and the implied model FLOP utilization (MFU) of DeepSeek v3’s 55 day training run ends up being around 23%.""

6 FLOP/token/param * 14.8T tokens * 37B active params = 3.29e24 FLOP (pretraining)
1.2e23 FLOP (post-training)
6.1e23 FLOP (fine-tuning)

Total compute: 3.29e24 + 1.2e23 + 6.1e23 = 4.02e24",Deepseek R1 (05/28),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recsscdqM4qvGHGT3
gpt-5-nano-2025-08-07_medium,0.2071,2025-08-07,OpenAI,United States of America,,,GPT-5 Nano (Medium),,,,reccPnp1eWrOMDX51
