Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
qwen3.5-plus,0.17,0.17,2026-02-16,Alibaba,China,,,0.03775251680686369,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FEnixDyRH5CYkmDuKRKY6vN.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/EnixDyRH5CYkmDuKRKY6vN.eval,2026-05-14T08:57:16.000Z,EnixDyRH5CYkmDuKRKY6vN
qwen3.6-plus,0.16161616161616163,0.16161616161616163,2026-03-31,Alibaba,China,,,0.037183546108874824,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FZzkgVhkMeMZ9nqRATu9VR7.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/ZzkgVhkMeMZ9nqRATu9VR7.eval,2026-05-12T14:40:49.000Z,ZzkgVhkMeMZ9nqRATu9VR7
qwen3.6-flash,0.1717171717171717,0.1717171717171717,2026-04-27,Alibaba,China,,,0.038096331262464894,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FBAbkkWea5d5grAZXGXBzVA.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/BAbkkWea5d5grAZXGXBzVA.eval,2026-05-12T10:21:53.000Z,BAbkkWea5d5grAZXGXBzVA
qwen3.5-flash,0.2,0.2,2026-02-25,Alibaba,China,,,0.04020151261036849,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdEVfr5pZKxmAUss8Kxauqy.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/dEVfr5pZKxmAUss8Kxauqy.eval,2026-05-11T17:07:30.000Z,dEVfr5pZKxmAUss8Kxauqy
kimi-k2.6,0.26,0.26,2026-04-20,Moonshot,China,,,0.0440844002276808,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F4MWuvJB4YXGnGz27Y74cqW.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/4MWuvJB4YXGnGz27Y74cqW.eval,2026-05-07T17:44:35.000Z,4MWuvJB4YXGnGz27Y74cqW
glm-5.1,0.18,0.18,2026-04-07,Z.ai (Zhipu AI),China,,,0.03861229196653691,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FAswYesr27chffop2i6XiFf.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/AswYesr27chffop2i6XiFf.eval,2026-05-07T14:45:23.000Z,AswYesr27chffop2i6XiFf
gpt-5.5-pro-pre-release_xhigh,0.64,0.64,2026-04-23,OpenAI,United States of America,,,0.048242,,,2026-05-01T12:33:37.643Z,gpt-5-5-pro-pre-release-xhigh-chess-puzzles-frankenstein
gpt-5.5-pre-release_xhigh,0.54,0.54,2026-04-23,OpenAI,United States of America,,,0.05009082659620331,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FbCy8WkKexRgzZoX2oJbQNM.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/bCy8WkKexRgzZoX2oJbQNM.eval,2026-04-24T14:20:22.000Z,bCy8WkKexRgzZoX2oJbQNM
claude-opus-4-7_xhigh,0.3,0.3,2026-04-16,Anthropic,United States of America,,,0.046,,,2026-04-20T16:56:00.070Z,opus-4-7-chess-puzzles-prelim-lower-bound
gpt-5.4-mini-2026-03-17_high,0.18,0.18,2026-03-17,OpenAI,United States of America,,,0.03861229196653691,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FLsjWfG6McNoCdd6yE3vSjd.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/LsjWfG6McNoCdd6yE3vSjd.eval,2026-04-15T14:38:56.000Z,LsjWfG6McNoCdd6yE3vSjd
gpt-5.4-nano-2026-03-17_high,0.3,0.3,2026-03-17,OpenAI,United States of America,,,0.0461,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F49RKnpqVsfDx6CvHF42Qqq.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/49RKnpqVsfDx6CvHF42Qqq.eval,2026-04-14T15:10:08.857Z,49RKnpqVsfDx6CvHF42Qqq
gpt-5.4-pro-2026-03-05_xhigh,0.586,0.586,2026-03-05,OpenAI,United States of America,,,0.05,,,2026-03-19T23:54:02.989Z,gpt-5-4-pro-chess-cloud-run
gpt-5.4-2026-03-05_xhigh,0.44,0.44,2026-03-05,OpenAI,United States of America,,,0.05,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FRjvLecpyS4VVkJPSXhk8Ju.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/RjvLecpyS4VVkJPSXhk8Ju.eval,2026-03-11T10:19:58.027Z,RjvLecpyS4VVkJPSXhk8Ju
claude-opus-4-6_120K,0.13,0.13,2026-02-05,Anthropic,United States of America,,,0.033799766898963114,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FEUknGXXh3f2mHtv3dTufLg.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/EUknGXXh3f2mHtv3dTufLg.eval,2026-02-20T01:57:10.547Z,EUknGXXh3f2mHtv3dTufLg
claude-sonnet-4-6_32K,0.13,0.13,2026-02-17,Anthropic,United States of America,,,0.03379976689896311,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FN5beL4W3WahAubJgDKivnE.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/N5beL4W3WahAubJgDKivnE.eval,2026-02-20T00:24:13.209Z,N5beL4W3WahAubJgDKivnE
gemini-3.1-pro-preview,0.55,0.55,2026-02-19,Google DeepMind,United States of America,,,0.05,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F4QfM9qyeWGqNc8YTcQNV76.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/4QfM9qyeWGqNc8YTcQNV76.eval,2026-02-19T18:01:28.796Z,4QfM9qyeWGqNc8YTcQNV76
glm-5,0.1,0.1,2026-02-11,Z.ai (Zhipu AI),China,,,0.03015113445777636,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F7czodbcgEF5zN68ppPFzBN.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/7czodbcgEF5zN68ppPFzBN.eval,2026-02-12T17:19:31.215Z,7czodbcgEF5zN68ppPFzBN
claude-opus-4-6_64K,0.1,0.1,2026-02-05,Anthropic,United States of America,,,0.03015113445777636,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fk5CCeHstJwo5wKpbMFZtfw.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/k5CCeHstJwo5wKpbMFZtfw.eval,2026-02-06T02:17:04.918Z,k5CCeHstJwo5wKpbMFZtfw
claude-opus-4-6_32K,0.17,0.17,2026-02-05,Anthropic,United States of America,,,0.03775251680686369,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FamkBg66TZcYjF26HaRAXfs.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/amkBg66TZcYjF26HaRAXfs.eval,2026-02-06T01:23:59.196Z,amkBg66TZcYjF26HaRAXfs
grok-4-0709,0.28,0.28,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.04512608598542129,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FgTh3CHLgfBDhvJCwobjju6.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/gTh3CHLgfBDhvJCwobjju6.eval,2026-01-30T21:40:05.126Z,gTh3CHLgfBDhvJCwobjju6
glm-4.7,0.06,0.06,2025-12-22,Z.ai (Zhipu AI),China,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",0.016329931618554522,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FbzuVVvmLtPCgofXqY7mTVR.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/bzuVVvmLtPCgofXqY7mTVR.eval,2026-01-29T20:06:13.530Z,bzuVVvmLtPCgofXqY7mTVR
fireworks/kimi-k2p5,0.12,0.12,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",0.032659863237109045,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Ff7vGNi73Cs5wSUsBMSzgFu.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/f7vGNi73Cs5wSUsBMSzgFu.eval,2026-01-28T17:12:03.604Z,f7vGNi73Cs5wSUsBMSzgFu
gemini-3-flash-preview,0.38,0.38,2025-12-17,Google DeepMind,United States of America,,,0.04878317312145634,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FZMRExFd2WEEwTRSQPLXXwu.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/ZMRExFd2WEEwTRSQPLXXwu.eval,2025-12-17T22:40:30.291Z,ZMRExFd2WEEwTRSQPLXXwu
deepseek-reasoner,0.14,0.14,2025-12-01,DeepSeek,China,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",0.0348735088019777,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FCsCv6cEsjHtZnC6aoatVUC.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/CsCv6cEsjHtZnC6aoatVUC.eval,2025-12-16T14:33:28.567Z,CsCv6cEsjHtZnC6aoatVUC
gpt-5.2-2025-12-11_xhigh,0.49,0.49,2025-12-11,OpenAI,United States of America,,,0.05,,,2025-12-15T10:01:10.174Z,manual_gpt_5.2_xhigh_chess_puzzles_frankenstein
openai/gpt-oss-120b_high,0.2,0.2,2025-08-05,OpenAI,United States of America,4.94e+24,"""The training run for gpt-oss-120b required 2.1 million H100-hours to complete""
(2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24
They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24

",0.030977345909486177,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fh529FgFpbSYUfLa8s3CocQ.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/h529FgFpbSYUfLa8s3CocQ.eval,2025-12-11T22:37:40.881Z,h529FgFpbSYUfLa8s3CocQ
gpt-5.2-2025-12-11_medium,0.4,0.4,2025-12-11,OpenAI,United States of America,,,0.0492365963917331,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FfCzTfk9GNPokGEVSg2ry4s.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/fCzTfk9GNPokGEVSg2ry4s.eval,2025-12-11T20:47:46.894Z,fCzTfk9GNPokGEVSg2ry4s
gpt-5.2-2025-12-11_high,0.4,0.4,2025-12-11,OpenAI,United States of America,,,0.0492365963917331,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FR3bUSJCQiuGjg6TzBo7k8Q.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/R3bUSJCQiuGjg6TzBo7k8Q.eval,2025-12-11T20:47:46.679Z,R3bUSJCQiuGjg6TzBo7k8Q
gpt-5.2-2025-12-11_low,0.23,0.23,2025-12-11,OpenAI,United States of America,,,0.04229525846816508,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FSUBFSiYKfaantxswKig2a2.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/SUBFSiYKfaantxswKig2a2.eval,2025-12-11T20:24:27.647Z,SUBFSiYKfaantxswKig2a2
Qwen3-235B-A22B-Thinking-2507,0.12,0.12,2025-07-25,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,0.03328341697069118,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F7iH4kjDYrjgRwQdKYgNACT.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/7iH4kjDYrjgRwQdKYgNACT.eval,2025-12-11T15:00:30.667Z,7iH4kjDYrjgRwQdKYgNACT
qwen3-max-2025-09-23,0.04,0.04,2025-09-24,Alibaba,China,1.512e+25,"6ND with:
36T tokens is taken from the qwen3 technical report
70B active params is based on it having >1T params, and the architectures of Qwen3-235B-A22B and Qwen3-Coder-480B-A35B",0.01969463855669324,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWfe5udNStR4yt4eoqgZ8hY.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/Wfe5udNStR4yt4eoqgZ8hY.eval,2025-12-10T16:04:15.360Z,Wfe5udNStR4yt4eoqgZ8hY
kimi-k2-thinking-turbo,0.2,0.2,2025-11-06,Moonshot,China,4.2e+24,"Assuming the additional post-training contributed between 1% and 100% of Kimi K2's training compute (which we confidently estimate at 2.976e+24), we get a range of 3.0e24 to 6.0e24, and a geometric mean of 4.2e24.",0.04020151261036849,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F8JwFyEbMELziSdLLg8hatX.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/8JwFyEbMELziSdLLg8hatX.eval,2025-12-10T16:03:31.928Z,8JwFyEbMELziSdLLg8hatX
claude-sonnet-4-5-20250929_32K,0.12,0.12,2025-09-29,Anthropic,United States of America,,,0.032659863237109045,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F6qgxJVk8HHLppb7hPqz9Tv.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/6qgxJVk8HHLppb7hPqz9Tv.eval,2025-12-08T14:58:44.624Z,6qgxJVk8HHLppb7hPqz9Tv
o4-mini-2025-04-16_high,0.26,0.26,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",0.04408440022768081,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fk2G5DrB2We92UEZnGoyVuL.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/k2G5DrB2We92UEZnGoyVuL.eval,2025-12-08T14:58:44.100Z,k2G5DrB2We92UEZnGoyVuL
gpt-5.1-2025-11-13_high,0.32,0.32,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.04688261722621506,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F8aknqG8nWu3P5CoBcetqte.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/8aknqG8nWu3P5CoBcetqte.eval,2025-12-08T14:58:42.139Z,8aknqG8nWu3P5CoBcetqte
gpt-5-2025-08-07_high,0.37,0.37,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.048523658709390974,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F6DcmBdRZz57U5cusZNBeGW.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/6DcmBdRZz57U5cusZNBeGW.eval,2025-12-08T14:58:41.672Z,6DcmBdRZz57U5cusZNBeGW
o3-mini-2025-01-31_high,0.17,0.17,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",0.03775251680686369,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F52bwKmNetKXPAGYaBjdgCB.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/52bwKmNetKXPAGYaBjdgCB.eval,2025-12-08T14:58:41.327Z,52bwKmNetKXPAGYaBjdgCB
claude-opus-4-5-20251101_32K,0.12,0.12,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.032659863237109045,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FP7kyrA6oQ68tVGHyekP7Qj.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/P7kyrA6oQ68tVGHyekP7Qj.eval,2025-12-08T14:58:41.000Z,P7kyrA6oQ68tVGHyekP7Qj
gemini-2.5-pro,0.2,0.2,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.04020151261036849,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FmQ3UwD6hUioWSp2s2oELY4.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/mQ3UwD6hUioWSp2s2oELY4.eval,2025-12-08T14:58:40.497Z,mQ3UwD6hUioWSp2s2oELY4
gemini-3-pro-preview,0.31,0.31,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.04648231987117317,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FEy65gb5LG3RdtZxMweDfAU.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/Ey65gb5LG3RdtZxMweDfAU.eval,2025-12-08T14:58:39.203Z,Ey65gb5LG3RdtZxMweDfAU
