Model version,Overall score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Overall number of predictions,Overall 95% CI low,Overall 95% CI high,Dataset score,Dataset number of predictions,Dataset 95% CI low,Dataset 95% CI high,Market score,Market number of predictions,Market 95% CI low,Market 95% CI high,Better than superforecaster median?,Better than public median?,Notes,Rank,Superforecaster p-value,Public p-value,id
gemini-2.5-pro-preview-03-25,61.3,2025-03-31,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini-2.5-Pro-Preview-03-25 (zero shot),1561,59.5,63.2,61.0,1472,60.3,61.7,61.6,89,58.0,65.5,,,,16,<0.001,0.92,reckDVPANlcEHlfqK
gemini-3-pro-preview,61.2,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,Gemini-3-Pro-Preview (zero shot),5472,60.3,62.2,60.8,4955,60.4,61.2,61.6,517,59.8,63.6,,,,17,<0.001,0.97,recuDEDrYZHnNAqIk
claude-opus-4-20250514_unknown,61.1,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude-Opus-4-20250514 (scratchpad),1236,59.7,62.6,60.6,1141,59.9,61.3,61.7,95,58.9,64.7,,,,19,<0.001,0.95,recuqZW2nUrmrUVn7
grok-4-1-fast-reasoning,61.0,2025-11-19,xAI,United States of America,,,Grok-4-1-Fast-Reasoning (zero shot),7958,60.1,61.7,60.0,7046,59.7,60.4,61.9,912,60.2,63.5,,,,20,<0.001,0.98,recB1NcN2xprhvbJG
gpt-5-mini-2025-08-07_unknown,61.0,2025-08-07,OpenAI,United States of America,,,GPT-5-Mini-2025-08-07 (zero shot),11279,60.3,61.7,60.1,10074,59.8,60.5,61.9,1205,60.5,63.2,,,,20,<0.001,0.98,reckEXEY3bIZL58k6
glm-5,61.0,2026-02-11,Z.ai (Zhipu AI),China,,,GLM-5 (zero shot),798,59.3,62.7,59.7,677,58.9,60.4,62.4,121,59.0,65.8,,,,20,<0.001,0.96,recM50PCrT0KbEz8d
grok-4-0709,60.9,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",Grok-4-0709 (zero shot),6748,60.1,61.6,60.1,6134,59.7,60.5,61.7,614,60.2,63.2,,,,23,<0.001,0.98,recuhguVHB0PtQHfd
claude-opus-4-5-20251101_unknown,60.7,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude-Opus-4-5-20251101 (zero shot),3575,59.6,61.8,60.1,3276,59.7,60.5,61.4,299,59.3,63.5,,,,25,<0.001,0.98,rec8XTmcz8SApqjua
claude-3-5-sonnet-20241022,60.7,2024-10-22,Anthropic,United States of America,,,Claude-3-5-Sonnet-20241022 (scratchpad),10738,60.1,61.3,58.7,10094,58.4,59.0,62.9,644,61.6,64.1,,,,25,<0.001,0.98,recaBL9Azg8jp2O7y
gemini-2.5-flash-preview-04-17,60.6,2025-04-17,Google DeepMind,United States of America,,,Gemini-2.5-Flash-Preview-04-17 (zero shot),1561,58.5,62.7,60.2,1472,59.3,61.2,61.0,89,57.0,65.2,,,,27,<0.001,0.96,recZVtQT2n49S8pCK
grok-4-fast,60.5,2025-09-19,xAI,United States of America,,,Grok-4-Fast-Reasoning (zero shot),8378,59.7,61.3,60.2,7532,59.8,60.5,60.8,846,59.3,62.3,,,,28,<0.001,0.99,rec2D8SZWc6m2WXP3
gemini-2.5-pro,60.4,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini-2.5-Pro (zero shot),11279,59.5,61.2,59.9,10074,59.5,60.2,60.9,1205,59.2,62.6,,,,29,<0.001,0.99,rec0OxLUOambJwoDX
Kimi-K2-Instruct,60.2,2025-07-12,Moonshot,China,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,Kimi-K2-Instruct (scratchpad),1215,58.9,61.6,58.5,1115,57.6,59.4,62.0,100,59.3,64.7,,,,30,<0.001,0.99,recxtbOrA1qDfCB66
claude-sonnet-4-20250514_unknown,60.2,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude-Sonnet-4-20250514 (zero shot),4386,59.4,60.9,58.5,3986,58.1,59.0,61.9,400,60.4,63.4,,,,30,<0.001,0.99,recyoRRySmkrzFAe5
gpt-5.2-2025-12-11_unknown,60.1,2025-12-11,OpenAI,United States of America,,,GPT-5.2-2025-12-11 (zero shot),4097,59.2,61.0,59.9,3541,59.4,60.3,60.4,556,58.6,62.2,,,,32,<0.001,0.99,recRfMRmNxVKx2NLd
claude-opus-4-6_unknown,60.0,2026-02-05,Anthropic,United States of America,,,Claude-Opus-4-6 (zero shot),3318,58.7,61.2,59.8,2812,59.4,60.2,60.1,506,57.8,62.6,,,,33,<0.001,0.99,recBjBmXDxws7h35t
DeepSeek-R1,60.0,2025-01-20,DeepSeek,China,3.5e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",DeepSeek-R1 (scratchpad),6164,59.4,60.7,58.9,5803,58.6,59.3,61.2,361,60.0,62.5,,,,33,<0.001,0.99,recrvx2Zq3Zpt2zZB
Llama-3.1-405B-Instruct,59.9,2024-07-23,Meta AI,United States of America,3.8e+25,"Stated in paper.

Also, 6 * 405B * 15.6T training tokens = 3.8e25",Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),3035,59.1,60.8,57.8,2850,57.4,58.2,62.1,185,60.4,63.9,,,,37,<0.001,1.00,recZzSkRNYMMLfRjU
Kimi-K2-Instruct-0905,59.8,2025-09-05,Moonshot,China,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,Kimi-K2-Instruct-0905 (zero shot),6748,59.0,60.6,58.9,6134,58.5,59.3,60.7,614,59.1,62.4,,,,38,<0.001,1.00,recU5qLUlYYpHySmf
Qwen3-235B-A22B,59.7,2025-04-29,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,Qwen3-235B-A22B-Fp8-Tput (scratchpad),8207,59.1,60.3,58.4,7643,58.1,58.7,61.1,564,59.8,62.3,,,,39,<0.001,1.00,reczywFpfMTG2ieZL
o3-mini-2025-01-31_unknown,59.6,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",O3-Mini-2025-01-31 (zero shot),6164,58.8,60.4,58.9,5803,58.5,59.3,60.3,361,58.8,61.9,,,,42,<0.001,1.00,recah7EMZgPigkWwt
claude-sonnet-4-6_unknown,59.6,2026-02-17,Anthropic,United States of America,,,Claude-Sonnet-4-6 (zero shot),3318,58.4,60.8,59.9,2812,59.5,60.3,59.4,506,57.0,61.8,,,,42,<0.001,1.00,recfxJhuHzARUsxvz
gpt-5.4-2026-03-05_unknown,59.5,2026-03-05,OpenAI,United States of America,,,GPT-5.4-2026-03-05 (zero shot),1688,58.0,61.1,60.0,1414,59.3,60.7,59.1,274,56.1,62.2,,,,44,<0.001,1.00,recZnAThj9SUNL9aZ
gpt-4-turbo-2024-04-09,59.4,2024-04-09,OpenAI,United States of America,,Training compute estimated to be 2.2e25 FLOP using benchmark imputation. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4-Turbo-2024-04-09 (zero shot),7286,58.8,60.1,57.7,6784,57.4,58.1,61.2,502,59.9,62.7,,,,46,<0.001,1.00,recEOJseJ7IdZQ3Wq
claude-3-5-sonnet-20240620,59.4,2024-06-20,Anthropic,United States of America,2.700000000000001e+25,"Blog post by Dario Amodei includes some info on 3.5 Sonnet compute: https://darioamodei.com/on-deepseek-and-export-controls
""Claude 3.5 Sonnet is a mid-sized model that cost a few $10M's to train (I won't give an exact number). Also, 3.5 Sonnet was not trained in any way that involved a larger or more expensive model (contrary to some rumors).""

Using assumptions about GPU pricing, this lets us estimate compute. https://docs.google.com/spreadsheets/d/1-p-ab6t6dkUM6T7GwnFp85ePTMpZMW7LFY7fW2t8POs/",Claude-3-5-Sonnet-20240620 (zero shot),18653,58.7,59.9,58.6,17412,58.3,58.8,60.2,1241,58.9,61.3,,,,46,<0.001,1.00,recGK8Hn8MRR4MOyG
GLM-4.5-Air,59.2,2025-07-20,"Z.ai (Zhipu AI),Tsinghua University",China,1.656e+24,6 FLOP / parameter / token * 12 * 10^9 active parameters * 23 * 10^12 tokens = 1.656e+24 FLOP,GLM-4.5-Air-FP8 (scratchpad),1213,57.6,60.8,57.2,1128,56.3,58.1,61.2,85,58.1,64.7,,,,50,<0.001,1.00,recmZZGF5TBg4C8oc
gpt-5-nano-2025-08-07_unknown,59.1,2025-08-07,OpenAI,United States of America,,,GPT-5-Nano-2025-08-07 (zero shot),11279,58.3,59.8,57.2,10074,56.8,57.6,61.0,1205,59.6,62.3,,,,52,<0.001,1.00,recgH1aj3jfcm3NaL
DeepSeek-V3,59.1,2024-12-26,DeepSeek,China,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",DeepSeek-V3 (scratchpad),7703,58.4,59.8,58.8,7244,58.5,59.1,59.5,459,58.2,60.8,,,,52,<0.001,1.00,recxdWqYWZD0Rgg6h
gemini-3.1-pro-preview,59.0,2026-02-19,Google DeepMind,United States of America,,,Gemini-3.1-Pro-Preview (zero shot),3318,57.8,60.2,60.1,2812,59.7,60.6,57.9,506,55.7,60.2,,,,54,<0.001,1.00,recGrD94EBUWAPBDk
gemini-2.5-flash,59.0,2025-06-17,Google DeepMind,United States of America,,,Gemini-2.5-Flash (zero shot),7182,58.0,59.9,58.3,6533,57.9,58.8,59.6,649,57.7,61.5,,,,54,<0.001,1.00,recT0z7BoGjvcxJVC
Llama-3.3-70B-Instruct,58.6,2024-12-06,Meta AI,United States of America,6.8649768e+24,"6ND = 6 FLOP / parameter / token * 70*10^9 parameters * 15*10^12 tokens = 6.3e+24 FLOP

7000000 GPU-hours * 3600 sec / hour * 989500000000000 FLOP / second * 0.3 [assumed utilization]= 7.48062e+24 FLOP

sqrt(7.48062e+24*6.3e+24) = 6.8649768e+24",Llama-3.3-70B-Instruct-Turbo (zero shot),10738,57.9,59.2,55.2,10094,54.8,55.5,62.4,644,60.9,63.8,,,,58,<0.001,1.00,recl7RJ530qSfBxOA
Meta-Llama-3-8B-Instruct,58.6,2024-04-18,Meta AI,United States of America,7.2e+23,"Counting operations
15000000000000 tokens*8000000000.00 parameters*6 FLOP / token / parameter = 7.2×10^23 FLOP

GPU calculation
400 TFLOPS per GPU * 1.3M GPU hours * 3600s=1.872×10^24 
(it is not confident that 400 TFLOPs applies to the Llama 3-8B training run)",Llama-3-8b-Chat-Hf (zero shot),3012,56.9,60.2,55.0,2795,54.3,55.8,62.5,217,59.1,65.9,,,,58,<0.001,1.00,recV7mrylsTwGK1pP
gemini-3-flash-preview,58.5,2025-12-17,Google DeepMind,United States of America,,,Gemini-3-Flash-Preview (zero shot),4097,57.3,59.6,59.6,3541,59.1,60.0,57.4,556,55.2,59.5,,,,61,<0.001,1.00,recoX9IAbj7pt6EUu
claude-3-opus-20240229,58.4,2024-02-29,Anthropic,United States of America,,Training compute estimated to be 1.64e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,Claude-3-Opus-20240229 (zero shot),7286,57.6,59.2,58.2,6784,57.8,58.6,58.6,502,57.0,60.2,,,,63,<0.001,1.00,recektsiAQBaYu3WJ
QwQ-32B-Preview,58.3,2024-11-28,Alibaba,China,3.51e+24,"Assuming the same dataset size as for Qwen2.5 training (18T tokens):

6ND = 6 * 32500000000 parameters * 18 * 10^12 tokens =  3.51 × 10^24

'Speculative' confidence",QwQ-32B-Preview (scratchpad),4629,57.4,59.1,56.8,4360,56.1,57.4,59.8,269,58.2,61.4,,,,65,<0.001,1.00,recbZRSaQePgFr8XP
gpt-5.1-2025-11-13_unknown,58.1,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",GPT-5.1-2025-11-13 (zero shot),7958,57.2,58.9,58.4,7046,58.0,58.8,57.8,912,56.2,59.4,,,,67,<0.001,1.00,reccpgRjKw7XGeVii
DeepSeek-V3.1,58.0,2025-08-21,DeepSeek,China,3.594058e+24,"This was based on V3 which was trained on 14.8T tokens for a total of 14.8T + 840B = 15.64T pretraining tokens. Adding the FLOPs from continued pretraining onto our estimate for V3, which is 3.4e24 FLOPs, we get 3.4e24 + 1.9e23 = 3.59e24",DeepSeek-V3.1 (zero shot),10066,57.3,58.7,57.5,8946,57.2,57.9,58.5,1120,57.2,59.8,,,,68,<0.001,1.00,reclg89DRRXzbpiUg
gpt-4-0613,57.8,2023-06-13,OpenAI,United States of America,2.1e+25,"90% CI: 8.2E+24 to 4.4E+25

NOTE: this is a rough estimate based on public information, much less information than most other systems in the database.

Calculation and confidence intervals here: https://colab.research.google.com/drive/1O99z9b1I5O66bT78r9ScslE_nOj5irN9?usp=sharing",GPT-4-0613 (scratchpad),1507,56.3,59.3,56.0,1384,55.1,56.9,59.7,123,56.9,62.8,,,,69,<0.001,1.00,recD7kikgmSl3m6Db
gpt-4o-2024-05-13,57.7,2024-05-13,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4o-2024-05-13 (zero shot),10408,57.1,58.4,55.7,9760,55.3,56.0,59.9,648,58.6,61.2,,,,70,<0.001,1.00,recgp08cE6zC9FZML
qwen1.5-110b-chat,57.7,2024-04-25,Alibaba,China,,lower bound is taken from Qwen1.5 72B training compute estimation,Qwen1.5-110B-Chat (scratchpad),1507,56.3,59.0,56.8,1384,56.0,57.6,58.6,123,56.0,61.1,,,,70,<0.001,1.00,recuqriVbFfTVrg7B
Llama-4-Scout-17B-16E-Instruct,57.5,2025-04-05,Meta AI,United States of America,4.08e+24,"40T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md  

Estimating training compute from parameters and tokens:
6 FLOP per token per parameter * 17B active parameters * 40T tokens = 4.08e24 FLOP
(Implying mean throughput was 227 TFLOPS/GPU, or 11.5% MFU in FP8)


The model card also states that Llama 4 Scout used 5.0M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 5 million hours = 7.02e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Scout than for Behemoth.)",Llama-4-Scout-17B-16E-Instruct (zero shot),7361,56.9,58.1,53.6,6900,53.2,54.0,61.8,461,60.4,63.1,,,,73,<0.001,1.00,recBd74YkXcInLqiw
qwen2.5-72b-instruct,57.5,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",Qwen2.5-72B-Instruct-Turbo (zero shot),3035,56.5,58.6,56.4,2850,55.9,56.9,58.7,185,56.5,60.9,,,,73,<0.001,1.00,recg3iIRMCbHteT8S
Llama-4-Maverick-17B-128E-Instruct-FP8,57.5,2025-04-05,Meta AI,United States of America,2.244000000001e+24,"22T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md   

Maverick was trained using co-distillation from Llama 4 Behemoth. It isn't 100% clear that all 22T tokens used distillation, but we assume this for the time being.

Estimating training compute from parameters and tokens:
Compute = 6 FLOP per token per parameter * 17B active parameters * 22T tokens = 2.244e24 FLOP
(Implying mean throughput was 262 TFLOPS/GPU, or 13.2% MFU in FP8)


The model card also states that Llama 4 Maverick used 2.38M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 2.38 million hours = 3.342e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Maverick than for Behemoth.)",Llama-4-Maverick-17B-128E-Instruct-FP8 (scratchpad),6125,56.8,58.1,57.1,5759,56.8,57.4,57.9,366,56.6,59.2,,,,73,<0.001,1.00,recgAlIcLFNS4EpBi
gpt-5.4-nano-2026-03-17_unknown,57.3,2026-03-17,OpenAI,United States of America,,,GPT-5.4-Nano-2026-03-17 (zero shot),1688,55.7,58.9,56.0,1414,55.2,56.8,58.8,274,55.5,62.0,,,,78,<0.001,1.00,recvU1Cr4BBezWzXU
mistral-large-2407,57.1,2024-07-24,Mistral AI,France,2.13e+25,"Details are sparse, but we can hazard a guess based on evidence about the training cluster they may have used, the scale up in compute they likely would have used relative to Mistral Large 1, and from the model's MMLU score. Extended reasoning given here: https://docs.google.com/document/d/1I2ZWBLFMpRZYcdMMUfKAGZFJrOJpduNDS9ZeVFIHnd8/edit?usp=sharing",Mistral-Large-2407 (zero shot),10408,56.4,57.7,56.0,9760,55.7,56.4,58.1,648,56.8,59.5,,,,81,<0.001,1.00,rec1uMZr3t2gqWlpd
Meta-Llama-3-70B,57.1,2024-04-18,Meta AI,United States of America,7.861e+24,"Arithmetic calculation:
6 * 15T tokens * 70B parameters = 6.3e24

GPU calculation:
https://huggingface.co/meta-llama/Meta-Llama-3-70B indicates training took 6.4M GPU-hours
We also know their larger scale training runs for 405B were getting between 0.38-0.41 MFU. Presumably the 70B model gets at least 0.43 utilization (405B has to be split across two nodes, while 70B should fit on one).
990 TFLOPS per GPU * 6.4 million GPU hours * 3600s * 0.43 = 9.808e24

Geometric mean: sqrt(6.3e24 * 9.808e24) = 7.861e24",Llama-3-70b-Chat-Hf (zero shot),4251,56.2,58.0,54.9,3934,54.3,55.4,59.5,317,57.7,61.3,,,,81,<0.001,1.00,rec5MmlJoH4mV41ty
gemini-2.0-flash-lite-001,57.1,2025-02-25,Google DeepMind,United States of America,,,Gemini-2.0-Flash-Lite-001 (scratchpad),3068,56.1,58.0,56.7,2888,56.1,57.4,57.4,180,55.6,59.0,,,,81,<0.001,1.00,recmFMI3VKGssuIRU
gpt-5.4-mini-2026-03-17_unknown,57.0,2026-03-17,OpenAI,United States of America,,,GPT-5.4-Mini-2026-03-17 (zero shot),1688,55.3,58.6,56.5,1414,55.7,57.2,57.5,274,54.3,60.7,,,,85,<0.001,1.00,rec0me5KEIlpxOxbI
mistral-large-2411,56.9,2024-11-18,Mistral AI,France,2.13e+25,"Details are sparse, but we can hazard a guess based on evidence about the training cluster they may have used, the scale up in compute they likely would have used relative to Mistral Large 1, and from the model's MMLU score. Extended reasoning given here: https://docs.google.com/document/d/1I2ZWBLFMpRZYcdMMUfKAGZFJrOJpduNDS9ZeVFIHnd8/edit?usp=sharing",Mistral-Large-2411 (zero shot),3664,56.0,57.9,55.5,3384,55.0,56.0,58.4,280,56.6,60.3,,,,86,<0.001,1.00,rec6ii8THDniC180j
Mixtral-8x7B-Instruct-v0.1,56.3,2023-12-11,Mistral AI,France,7.74e+23,"Assuming the model was trained on ~1-10 trillions of tokens (same OOM as the models from the comparison in Figure 1. Llama 2 was trained on 2T tokens) + Mistral Small 3 was trained on 8T of tokens, we can estimate training compute with ""speculative"" confidence:

6 FLOP / token / parameter * 12.9 * 10^9 active parameters * 10*10^12 tokens [speculatively] = 7.74e+23 FLOP",Mixtral-8x7B-Instruct-V0.1 (zero shot),1507,54.1,58.3,53.4,1384,52.1,54.8,59.3,123,55.0,63.5,,,,90,<0.001,1.00,recPMwHmvxVRaVoHg
Mixtral-8x22B-Instruct-v0.1,56.3,2024-04-17,Mistral AI,France,2.34e+24,"Assuming the model was trained on ~1-10 trillions of tokens (same OOM as the models from the comparison in Figure 1. Llama 2 was trained on 2T tokens) + Mistral Small 3 was trained on 8T of tokens, we can estimate training compute with ""speculative"" confidence:

6 FLOP / token / parameter * 39 * 10^9 active parameters * 10*10^12 tokens [speculatively] = 2.34e+24 FLOP",Mixtral-8x22B-Instruct-V0.1 (scratchpad),1507,54.8,57.6,55.2,1384,54.3,56.1,57.4,123,54.6,60.1,,,,90,<0.001,1.00,recymnaWRIEaDxdKj
gemini-3.1-flash-lite,54.4,2026-03-03,Google,United States of America,,,Gemini-3.1-Flash-Lite-Preview (zero shot),1688,52.6,56.1,59.8,1414,59.2,60.6,49.5,274,46.3,52.7,,,,101,<0.001,1.00,recmEZycYSiXJSmPv
claude-2.1,54.2,2023-11-21,Anthropic,United States of America,,,Claude-2.1 (zero shot),1507,52.6,55.8,52.8,1384,52.1,53.6,55.6,123,52.4,58.9,,,,104,<0.001,1.00,recHplwtDHYC4w4YP
gemini-1.5-flash-001,53.9,2024-05-23,Google DeepMind,United States of America,,"""Gemini 1.5 Flash is a dense Transformer based model that is online distilled [...] from Gemini 1.5 Pro.""",Gemini-1.5-Flash (zero shot),1507,52.1,55.6,53.8,1384,52.7,54.9,53.9,123,50.6,57.4,,,,105,<0.001,1.00,recTFEQaCJsC7CqRm
claude-3-haiku-20240307,53.2,2024-03-07,Anthropic,United States of America,,,Claude-3-Haiku-20240307 (zero shot),7286,52.6,53.8,51.1,6784,50.6,51.6,55.4,502,54.3,56.6,,,,106,<0.001,1.00,rec5GC5VDz2J0wIvA
Meta-Llama-3-8B,52.9,2024-04-18,Meta AI,United States of America,7.2e+23,"Counting operations
15000000000000 tokens*8000000000.00 parameters*6 FLOP / token / parameter = 7.2×10^23 FLOP

GPU calculation
400 TFLOPS per GPU * 1.3M GPU hours * 3600s=1.872×10^24 
(it is not confident that 400 TFLOPs applies to the Llama 3-8B training run)",Llama-3-8b-Chat-Hf (scratchpad),1507,51.4,54.5,50.9,1384,50.0,51.8,54.9,123,52.0,58.2,,,,107,<0.001,1.00,recVM8XEUmNVJCusi
Llama-2-70b-chat-hf,51.4,2023-07-18,Meta AI,United States of America,8.1e+23,"""Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB"" of which 1720320 GPU hours were used to train the 70B model.

311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.

Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP.",Llama-2-70b-Chat-Hf (scratchpad),1507,49.6,53.2,50.1,1384,49.3,51.0,52.7,123,49.3,56.5,,,,108,<0.001,1.00,recyD6PVPwW6w4cJX
