Model name,date,ECI Score,Organization,Model accessibility,open
Gemma 2 27B,2024-06-24,122.16,Google DeepMind,Open weights (restricted use),True
GPT-4o mini,2024-07-18,126.67,OpenAI,API access,False
Mistral NeMo,2024-07-18,118.02,Mistral AI,Open weights (unrestricted),True
Llama 3.1-405B,2024-07-23,128.75,Meta AI,Open weights (restricted use),True
Llama 3.1-70B,2024-07-23,125.25,Meta AI,Open weights (restricted use),True
Llama 3.1-8B,2024-07-23,115.04,Meta AI,Open weights (restricted use),True
o1-preview,2024-09-12,135.68,OpenAI,API access,False
o1-mini,2024-09-12,136.47,OpenAI,API access,False
Qwen2.5-Coder (7B),2024-09-18,112.41,Alibaba,Open weights (unrestricted),True
Qwen2.5-Coder (32B),2024-09-18,118.91,Alibaba,Open weights (unrestricted),True
Qwen2.5-Coder (1.5B),2024-09-18,102.0,Alibaba,Open weights (unrestricted),True
Qwen2.5-72B,2024-09-19,128.79,Alibaba,Open weights (unrestricted),True
Gemini 1.5 Flash,2024-09-24,130.16,Google DeepMind,API access,False
Gemini 1.5 Pro,2024-09-24,132.51,Google DeepMind,API access,False
Llama 3.2 90B,2024-09-24,125.43,Meta AI,Open weights (restricted use),True
Claude 3.5 Haiku,2024-10-22,127.21,Anthropic,API access,False
Claude 3.5 Sonnet (October 2024),2024-10-22,134.25,Anthropic,API access,False
Mistral Large 2,2024-11-18,128.56,Mistral AI,Open weights (non-commercial),True
GPT-4o,2024-11-20,129.08,OpenAI,API access,False
INTELLECT-1,2024-11-29,99.82,"Prime Intellect,Hugging Face,Arcee AI",,False
Amazon Nova Pro,2024-12-03,123.61,Amazon,API access,False
Llama 3.3 70B,2024-12-06,127.22,Meta AI,Open weights (restricted use),True
Grok-2,2024-12-12,130.56,xAI,API access,False
Phi-4,2024-12-12,130.85,Microsoft Research,Open weights (unrestricted),True
o1,2024-12-17,142.57,OpenAI,API access,False
DeepSeek-V3,2024-12-26,132.87,DeepSeek,Open weights (restricted use),True
DeepSeek-R1,2025-01-20,139.56,DeepSeek,Open weights (unrestricted),True
Gemini 2.0 Flash Thinking,2025-01-21,136.02,"Google DeepMind,Google",API access,False
Qwen2.5-Max,2025-01-25,133.2,Alibaba,API access,False
o3-mini,2025-01-31,141.36,OpenAI,API access,False
Gemini 2.0 Flash,2025-02-05,135.63,"Google DeepMind,Google",API access,False
Gemini 2.0 Pro,2025-02-05,135.45,Google DeepMind,Hosted access (no API),False
Claude 3.7 Sonnet,2025-02-24,141.67,Anthropic,API access,False
GPT-4.5,2025-02-27,137.47,OpenAI,API access,False
Gemma 3 27B,2025-03-12,130.63,Google DeepMind,Open weights (restricted use),True
Mistral Small 3.1,2025-03-17,127.49,Mistral AI,Open weights (unrestricted),True
DeepSeek-V3 (Mar 2025),2025-03-24,136.89,DeepSeek,Open weights (restricted use),True
Gemini 2.5 Pro (Mar 2025),2025-03-31,144.53,Google DeepMind,API access,False
Llama 4 Scout,2025-04-05,130.32,Meta AI,Open weights (restricted use),True
Llama 4 Maverick,2025-04-05,132.84,Meta AI,Open weights (restricted use),True
Grok-3 mini,2025-04-09,140.91,xAI,API access,False
Grok 3,2025-04-09,138.92,xAI,API access,False
GPT-4.1 nano,2025-04-14,130.65,OpenAI,API access,False
GPT-4.1 mini,2025-04-14,135.61,OpenAI,API access,False
GPT-4.1,2025-04-14,137.33,OpenAI,API access,False
o3,2025-04-16,147.0,OpenAI,API access,False
o4-mini,2025-04-16,146.32,OpenAI,API access,False
Qwen3-235B-A22B,2025-04-29,139.48,Alibaba,Open weights (unrestricted),True
Gemini 2.5 Pro (May 2025),2025-05-06,142.76,Google DeepMind,API access,False
Mistral Medium 3,2025-05-07,135.16,Mistral AI,API access,False
Claude Opus 4,2025-05-22,142.92,Anthropic,API access,False
Claude Sonnet 4,2025-05-22,142.2,Anthropic,API access,False
DeepSeek-R1 (May 2025),2025-05-28,141.83,DeepSeek,Open weights (unrestricted),True
o3-pro,2025-06-10,147.44,OpenAI,API access,False
Magistral Small 1.0,2025-06-10,134.0,Mistral AI,Open weights (unrestricted),True
Gemini 2.5 Pro (Jun 2025),2025-06-17,145.79,Google DeepMind,API access,False
Grok 4,2025-07-09,146.83,xAI,API access,False
Kimi K2,2025-07-12,140.44,Moonshot,Open weights (restricted use),True
Qwen3-235B-A22B (Jul 2025),2025-07-25,144.67,Alibaba,Open weights (unrestricted),True
Claude Opus 4.1,2025-08-05,144.31,Anthropic,API access,False
gpt-oss-120b,2025-08-05,140.54,OpenAI,Open weights (unrestricted),True
gpt-oss-20b,2025-08-05,136.65,OpenAI,Open weights (unrestricted),True
GPT-5,2025-08-07,150.0,OpenAI,API access,False
GPT-5 nano,2025-08-07,140.98,OpenAI,API access,False
GPT-5 mini,2025-08-07,145.83,OpenAI,API access,False
Grok 4 Fast,2025-09-19,144.45,xAI,API access,False
Qwen3-Max,2025-09-24,143.66,Alibaba,API access,False
Gemini 2.5 Flash,2025-09-25,143.22,Google DeepMind,API access,False
DeepSeek-V3.2-Exp,2025-09-29,144.86,DeepSeek,Open weights (unrestricted),True
Claude Sonnet 4.5,2025-09-29,146.86,Anthropic,API access,False
GLM-4.6,2025-09-30,141.15,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),True
GPT-5 Pro,2025-10-07,150.27,OpenAI,API access,False
Claude Haiku 4.5,2025-10-15,142.86,Anthropic,API access,False
Kimi K2 Thinking,2025-11-06,145.94,Moonshot,Open weights (restricted use),True
GPT-5.1,2025-11-13,149.58,OpenAI,API access,False
Gemini 3 Pro,2025-11-18,153.06,Google DeepMind,API access,False
GPT-5.1-Codex-Max,2025-11-19,150.16,OpenAI,API access,False
Claude Opus 4.5,2025-11-24,149.93,Anthropic,API access,False
DeepSeek-V3.2,2025-12-01,146.38,DeepSeek,Open weights (unrestricted),True
GPT-5.2,2025-12-11,153.31,OpenAI,API access,False
GPT-5.2 Pro,2025-12-11,155.09,OpenAI,API access,False
Gemini 3 Flash,2025-12-17,151.72,Google DeepMind,API access,False
GLM-4.7,2025-12-22,143.81,Z.ai (Zhipu AI),Open weights (unrestricted),True
Kimi K2.5,2026-01-27,148.13,Moonshot,Open weights (unrestricted),True
Claude Opus 4.6,2026-02-05,155.01,Anthropic,API access,False
GPT-5.3 Codex,2026-02-05,155.61,OpenAI,API access,False
GLM-5,2026-02-11,146.13,Z.ai (Zhipu AI),Open weights (unrestricted),True
MiniMax-M2.5,2026-02-12,146.67,MiniMax,Open weights (unrestricted),True
Qwen 3.5 Plus (hosted 397B-A17B),2026-02-16,147.13,Alibaba,,False
Grok 4.20,2026-02-17,152.07,xAI,API access,False
Claude Sonnet 4.6,2026-02-17,152.17,Anthropic,API access,False
Gemini 3.1 Pro,2026-02-19,154.62,Google DeepMind,API access,False
Qwen 3.5 Flash (hosted 35B-A3B),2026-02-25,143.87,Alibaba,,False
Gemini 3.1 Flash-Lite,2026-03-03,145.01,Google,API access,False
GPT-5.4 Pro,2026-03-05,158.57,OpenAI,API access,False
GPT-5.4,2026-03-05,156.5,OpenAI,API access,False
GPT-5.4 Nano,2026-03-17,146.23,OpenAI,API access,False
GPT-5.4 Mini,2026-03-17,149.29,OpenAI,API access,False
MiniMax-M2.7,2026-03-18,145.91,MiniMax,Open weights (non-commercial),True
Qwen 3.6 Plus,2026-03-31,149.35,Alibaba,API access,False
Gemma 4 31B IT,2026-04-02,142.31,Google DeepMind,Open weights (restricted use),True
GLM-5.1,2026-04-07,150.86,Z.ai (Zhipu AI),Open weights (unrestricted),True
Muse Spark,2026-04-08,152.58,Meta AI,API access,False
Qwen 3.6 35B-A3B,2026-04-14,145.06,Alibaba,Open weights (unrestricted),True
Claude Opus 4.7,2026-04-16,155.98,Anthropic,API access,False
Grok 4.3 Beta,2026-04-17,149.16,xAI,Hosted access (no API),False
Qwen 3.6 Max (Preview),2026-04-20,149.3,Alibaba,,False
Kimi K2.6,2026-04-20,151.04,Moonshot,Open weights (unrestricted),True
GPT-5.5 Pro,2026-04-23,161.73,OpenAI,API access,False
GPT-5.5,2026-04-23,158.67,OpenAI,API access,False
DeepSeek-V4-Pro,2026-04-24,149.49,DeepSeek,Open weights (unrestricted),True
Qwen 3.6 Flash,2026-04-27,144.06,Alibaba,,False
Mistral Medium 3.5,2026-04-28,142.48,Mistral AI,Open weights (restricted use),True
GPT-5.5 Instant,2026-05-05,143.49,OpenAI,API access,False
Qwen3.7-Max,2026-05-19,153.58,Alibaba,API access,False
Gemini 3.5 Flash,2026-05-19,154.45,Google,API access,False
Claude Opus 4.8,2026-05-28,157.78,Anthropic,API access,False
MiniMax-M3,2026-06-01,147.54,MiniMax,Open weights (restricted use),True
Qwen3.7-Plus,2026-06-02,148.26,Alibaba,,False
Nemotron 3 Ultra,2026-06-04,143.02,NVIDIA,Open weights (unrestricted),True
Claude Fable 5,2026-06-09,162.49,Anthropic,API access,False
Kimi K2.7 Code,2026-06-12,150.52,Moonshot,Open weights (unrestricted),True
GLM-5.2,2026-06-16,152.14,Z.ai (Zhipu AI),Open weights (unrestricted),True
Claude Sonnet 5,2026-06-30,155.9,Anthropic,API access,False
Grok 4.5,2026-07-08,153.94,xAI,API access,False
GPT-5.6 Terra,2026-07-09,158.78,OpenAI,API access,False
GPT-5.6 Luna,2026-07-09,156.22,OpenAI,API access,False
GPT-5.6 Sol,2026-07-09,161.08,OpenAI,API access,False
Muse Spark 1.1,2026-07-09,154.37,Meta AI,API access,False
Inkling-Small,2026-07-15,150.17,Thinking Machines,Open weights (unrestricted),True
Inkling,2026-07-15,148.77,Thinking Machines,Open weights (unrestricted),True
Kimi K3,2026-07-16,157.49,Moonshot,Open weights (non-commercial),True
Gemini 3.5 Flash-Lite,2026-07-21,145.11,Google DeepMind,API access,False
Gemini 3.6 Flash,2026-07-21,154.2,Google DeepMind,API access,False
Claude Opus 5,2026-07-24,161.54,Anthropic,API access,False
DeepSeek V4 Flash 0731,2026-07-31,154.43,DeepSeek,Open weights (unrestricted),True
Qwen 3.8 Max,2026-08-02,156.43,Alibaba,API access,False
Grok 4.6,2026-08-12,155.94,xAI,API access,False
Gemini 3.7 Flash,2026-08-13,156.85,Google DeepMind,API access,False
